id,from_id,to_id,road_name,bidirectional,distance_km,travel_time_min,traffic
e67,n55,n56,SH.Chamran,TRUE,3.184,2.729142857,0.6
e68,n38,n57,SH.Babaee,TRUE,2.884,2.472,0.85
e69,n49,n57,SH.Babaee,TRUE,5.19,4.448571429,0.85
e70,n36,n58,Damavand,TRUE,2.094,1.794857143,0.6
e71,n39,n58,Damavand,TRUE,1.545,1.324285714,0.6
e72,n24,n59,Damavand,TRUE,4.026,3.450857143,0.6
e73,n36,n59,Damavand,TRUE,1.123,0.962571429,0.6
e74,n22,n60,SH.Yasini,TRUE,1.348,1.155428571,0.6
e75,n37,n60,SH.Yasini,TRUE,1.777,1.523142857,0.6
e76,n21,n61,Piroozi,TRUE,1.926,1.650857143,0.6
e77,n22,n61,Piroozi,TRUE,1.269,1.087714286,0.6
e78,n37,n62,SH.Yasini,TRUE,1.138,0.975428571,0.6
e79,n39,n62,SH.Yasini,TRUE,2.131,1.826571429,0.6
e80,n4,n63,Abouzar,TRUE,0.585,0.501428571,0.3
e81,n22,n63,Abouzar,TRUE,0.48,0.411428571,0.3
e82,n20,n64,Piroozi,TRUE,1.621,1.389428571,0.6
e83,n22,n64,Piroozi,TRUE,1.97,1.688571429,0.6
e84,n35,n65,Janbazan,TRUE,1.062,0.910285714,0.6
e85,n41,n65,Janbazan,TRUE,0.286,0.245142857,0.6
e86,n42,n66,A.Hakim,TRUE,3.087,2.646,1
e87,n43,n66,A.Hakim,TRUE,3.266,2.799428571,1
e88,n33,n67,Valiasr,TRUE,1.279,1.096285714,0.85
e89,n42,n67,Valiasr,TRUE,1.382,1.184571429,0.85
e90,n26,n68,Valiasr,TRUE,0.454,0.389142857,0.85
e91,n33,n68,Valiasr,TRUE,1.127,0.966,0.85
e92,n24,n69,Enghelab,TRUE,0.465,0.398571429,0.85
e93,n25,n69,Enghelab,TRUE,0.722,0.618857143,0.85
e94,n19,n70,SH.Mostafa Khomeini,TRUE,1.037,0.888857143,0.85
e95,n25,n70,SH.Mostafa Khomeini,TRUE,1.58,1.354285714,0.85
e96,n18,n71,Kargar,TRUE,1.197,1.026,0.85
e97,n27,n71,Kargar,TRUE,1.125,0.964285714,0.85
e98,n8,n72,Shoosh,TRUE,2.352,2.016,0.6
e99,n9,n72,Shoosh,TRUE,2.016,1.728,0.6
e100,n7,n73,17 Shahrivar,TRUE,0.849,0.727714286,0.6
e101,n8,n73,17 Shahrivar,TRUE,0.351,0.300857143,0.6
e102,n46,n74,SH.Hemmat,TRUE,3.582,3.070285714,1
e103,n47,n74,SH.Hemmat,TRUE,1.089,0.933428571,1
e104,n46,n75,SH.Chamran,TRUE,1.346,1.153714286,0.6
e105,n55,n75,SH.Chamran,TRUE,1.226,1.050857143,0.6
e106,n44,n76,SH.Abshenasan,TRUE,1.105,0.947142857,0.6
e107,n45,n76,SH.Abshenasan,TRUE,1.461,1.252285714,0.6
e108,n29,n77,SH.Kharazi,TRUE,1.511,1.295142857,0.6
e109,n30,n77,SH.Kharazi,TRUE,0.962,0.824571429,0.6
e110,n28,n78,SH.Fazl Allah Noori,TRUE,1.562,1.338857143,0.85
e111,n31,n78,SH.Fazl Allah Noori,TRUE,1.123,0.962571429,0.85
e112,n9,n79,SH.Tondgouyan,TRUE,1.621,1.389428571,0.6
e113,n12,n79,SH.Tondgouyan,TRUE,1.362,1.167428571,0.6
e114,n12,n80,Azadegan,TRUE,5.005,4.29,0.6
e115,n13,n80,Azadegan,TRUE,3.112,2.667428571,0.6
e116,n1,n81,Basij,TRUE,1.518,1.301142857,0.6
e117,n3,n81,Basij,TRUE,2.128,1.824,0.6
e118,n5,n82,SH.Rajab Nia,TRUE,0.563,0.482571429,0.3
e119,n6,n82,SH.Rajab Nia,TRUE,0.894,0.766285714,0.3
e120,n14,n83,Fath,TRUE,4.529,3.882,0.6
e121,n17,n83,Fath,TRUE,2.906,2.490857143,0.6
e122,n53,n84,Shariati,TRUE,0.96,0.822857143,0.6
e123,n54,n84,Shariati,TRUE,1.326,1.136571429,0.6
e124,n48,n85,SH.Sayad Shirazi,TRUE,1.567,1.343142857,0.85
e125,n51,n85,SH.Sayad Shirazi,TRUE,1.005,0.861428571,0.85
